#Wavelength (nm),U,G,R,I,Sum,Included
411,0.657949614,0,0,0,0.657949614,0.657949614
412,0.658665932,0,0,0,0.658665932,0.658665932
413,0.658771156,0,0,0,0.658771156,0.658771156
414,0.657956798,0,0,0,0.657956798,0.657956798
415,0.655421151,0,0,0,0.655421151,0.655421151
416,0.64940983,0,0,0,0.64940983,0.64940983
417,0.636056734,0.015960577,0,0,0.652017311,0.652017311
418,0.607751266,0.032631524,0,0,0.64038279,0.64038279
419,0.556049964,0.063313767,0,0,0.619363731,0.619363731
420,0.49134653,0.1022403,0,0,0.59358683,0.59358683
421,0.447575338,0.1291141,0,0,0.576689438,0.576689438
422,0.429677124,0.140722255,0,0,0.570399379,0.570399379
423,0.418662855,0.148234654,0,0,0.566897509,0.566897509
424,0.40375651,0.158213235,0,0,0.561969745,0.561969745
425,0.383874703,0.171314659,0,0,0.555189363,0.555189363
426,0.362669616,0.185342494,0,0,0.54801211,0.54801211
427,0.345179238,0.197100998,0,0,0.542280236,0.542280236
428,0.334702973,0.204391522,0,0,0.539094495,0.539094495
429,0.33091427,0.207307446,0,0,0.538221716,0.538221716
430,0.330743725,0.207651019,0,0,0.538394744,0.538394744
431,0.33041011,0.207843695,0,0,0.538253805,0.538253805
432,0.326457997,0.210213759,0,0,0.536671756,0.536671756
433,0.313834559,0.218347211,0,0,0.53218177,0.53218177
434,0.276262359,0.242270551,0,0,0.51853291,0.51853291
435,0.172269054,0.316669781,0,0,0.488938834,0.488938834
436,0.026404544,0.419237271,0,0,0.445641814,0.445641814
437,0,0.440511371,0,0,0.440511371,0.440511371
438,0,0.432798334,0,0,0.432798334,0.432798334
439,0,0.435236421,0,0,0.435236421,0.435236421
440,0,0.444157326,0,0,0.444157326,0.444157326
441,0,0.452176446,0,0,0.452176446,0.452176446
442,0,0.456281702,0,0,0.456281702,0.456281702
443,0,0.458115583,0,0,0.458115583,0.458115583
444,0,0.460666762,0,0,0.460666762,0.460666762
445,0,0.465532607,0,0,0.465532607,0.465532607
446,0,0.472134565,0,0,0.472134565,0.472134565
447,0,0.47904331,0,0,0.47904331,0.47904331
448,0,0.484455237,0,0,0.484455237,0.484455237
449,0,0.48768245,0,0,0.48768245,0.48768245
450,0,0.48887138,0,0,0.48887138,0.48887138
451,0,0.489722353,0,0,0.489722353,0.489722353
452,0,0.490635399,0,0,0.490635399,0.490635399
453,0,0.492427,0,0,0.492427,0.492427
454,0,0.495338967,0,0,0.495338967,0.495338967
455,0,0.499600942,0,0,0.499600942,0.499600942
456,0,0.504846572,0,0,0.504846572,0.504846572
457,0,0.510776574,0,0,0.510776574,0.510776574
458,0,0.516654101,0,0,0.516654101,0.516654101
459,0,0.522055056,0,0,0.522055056,0.522055056
460,0,0.52639478,0,0,0.52639478,0.52639478
461,0,0.529098677,0,0,0.529098677,0.529098677
462,0,0.530806353,0,0,0.530806353,0.530806353
463,0,0.531662733,0,0,0.531662733,0.531662733
464,0,0.53223424,0,0,0.53223424,0.53223424
465,0,0.532853012,0,0,0.532853012,0.532853012
466,0,0.533778214,0,0,0.533778214,0.533778214
467,0,0.535389867,0,0,0.535389867,0.535389867
468,0,0.537700969,0,0,0.537700969,0.537700969
469,0,0.540592462,0,0,0.540592462,0.540592462
470,0,0.544071656,0,0,0.544071656,0.544071656
471,0,0.547745919,0,0,0.547745919,0.547745919
472,0,0.551454672,0,0,0.551454672,0.551454672
473,0,0.554873862,0,0,0.554873862,0.554873862
474,0,0.557788033,0,0,0.557788033,0.557788033
475,0,0.560283919,0,0,0.560283919,0.560283919
476,0,0.562315012,0,0,0.562315012,0.562315012
477,0,0.563920529,0,0,0.563920529,0.563920529
478,0,0.565431928,0,0,0.565431928,0.565431928
479,0,0.566943865,0,0,0.566943865,0.566943865
480,0,0.568562424,0,0,0.568562424,0.568562424
481,0,0.570660032,0,0,0.570660032,0.570660032
482,0,0.573067083,0,0,0.573067083,0.573067083
483,0,0.576313701,0,0,0.576313701,0.576313701
484,0,0.579769693,0,0,0.579769693,0.579769693
485,0,0.583406883,0,0,0.583406883,0.583406883
486,0,0.587076083,0,0,0.587076083,0.587076083
487,0,0.59061126,0,0,0.59061126,0.59061126
488,0,0.593938133,0,0,0.593938133,0.593938133
489,0,0.596764432,0,0,0.596764432,0.596764432
490,0,0.599099754,0,0,0.599099754,0.599099754
491,0,0.600933423,0,0,0.600933423,0.600933423
492,0,0.602400793,0,0,0.602400793,0.602400793
493,0,0.603436679,0,0,0.603436679,0.603436679
494,0,0.604258226,0,0,0.604258226,0.604258226
495,0,0.60500518,0,0,0.60500518,0.60500518
496,0,0.605879713,0,0,0.605879713,0.605879713
497,0,0.606776738,0,0,0.606776738,0.606776738
498,0,0.607727067,0,0,0.607727067,0.607727067
499,0,0.608698312,0,0,0.608698312,0.608698312
500,0,0.610428215,0,0,0.610428215,0.610428215
501,0,0.612470634,0,0,0.612470634,0.612470634
502,0,0.614538923,0,0,0.614538923,0.614538923
503,0,0.616489868,0,0,0.616489868,0.616489868
504,0,0.618298565,0,0,0.618298565,0.618298565
505,0,0.619889658,0,0,0.619889658,0.619889658
506,0,0.621178592,0,0,0.621178592,0.621178592
507,0,0.622098161,0,0,0.622098161,0.622098161
508,0,0.622613924,0,0,0.622613924,0.622613924
509,0,0.622731822,0,0,0.622731822,0.622731822
510,0,0.622500409,0,0,0.622500409,0.622500409
511,0,0.622004869,0,0,0.622004869,0.622004869
512,0,0.621354941,0,0,0.621354941,0.621354941
513,0,0.620669363,0,0,0.620669363,0.620669363
514,0,0.620054408,0,0,0.620054408,0.620054408
515,0,0.619561374,0,0,0.619561374,0.619561374
516,0,0.619217995,0,0,0.619217995,0.619217995
517,0,0.618983542,0,0,0.618983542,0.618983542
518,0,0.618193382,0,0,0.618193382,0.618193382
519,0,0.614922261,0,0,0.614922261,0.614922261
520,0,0.602572516,0,0,0.602572516,0.602572516
521,0,0.60023232,0,0,0.60023232,0.60023232
522,0,0.616802402,0,0,0.616802402,0.616802402
523,0,0.624785758,0,0,0.624785758,0.624785758
524,0,0.629208457,0,0,0.629208457,0.629208457
525,0,0.632361589,0,0,0.632361589,0.632361589
526,0,0.634926064,0,0,0.634926064,0.634926064
527,0,0.636906953,0,0,0.636906953,0.636906953
528,0,0.63851826,0,0,0.63851826,0.63851826
529,0,0.639608827,0,0,0.639608827,0.639608827
530,0,0.640274129,0,0,0.640274129,0.640274129
531,0,0.640616525,0,0,0.640616525,0.640616525
532,0,0.640495254,0,0,0.640495254,0.640495254
533,0,0.640086326,0,0,0.640086326,0.640086326
534,0,0.638976259,0,0,0.638976259,0.638976259
535,0,0.637169793,0,0,0.637169793,0.637169793
536,0,0.636884256,0,0,0.636884256,0.636884256
537,0,0.635145436,0,0,0.635145436,0.635145436
538,0,0.632829836,0,0,0.632829836,0.632829836
539,0,0.629557897,0,0,0.629557897,0.629557897
540,0,0.625146119,0,0,0.625146119,0.625146119
541,0,0.619624519,0,0,0.619624519,0.619624519
542,0,0.615162573,0,0,0.615162573,0.615162573
543,0,0.613641883,0,0,0.613641883,0.613641883
544,0,0.615062737,0,0,0.615062737,0.615062737
545,0,0.617589751,0,0,0.617589751,0.617589751
546,0,0.619846382,0,0,0.619846382,0.619846382
547,0,0.621536289,0,0,0.621536289,0.621536289
548,0,0.622544108,0,0,0.622544108,0.622544108
549,0,0.622937359,0,0,0.622937359,0.622937359
550,0,0.622696487,0,0,0.622696487,0.622696487
551,0,0.62201381,0,0,0.62201381,0.62201381
552,0,0.620819897,0,0,0.620819897,0.620819897
553,0,0.619021274,0,0,0.619021274,0.619021274
554,0,0.616729452,0,0,0.616729452,0.616729452
555,0,0.613790016,0,0,0.613790016,0.613790016
556,0,0.609948884,0,0,0.609948884,0.609948884
557,0,0.605048756,0,0,0.605048756,0.605048756
558,0,0.598898591,0,0,0.598898591,0.598898591
559,0,0.590985353,0,0,0.590985353,0.590985353
560,0,0.58080467,0,0,0.58080467,0.58080467
561,0,0.567553889,0.044460801,0,0.61201469,0.61201469
562,0,0.550003751,0.059428373,0,0.609432124,0.609432124
563,0,0.526250791,0.080087335,0,0.606338126,0.606338126
564,0,0.494990358,0.10749491,0,0.602485268,0.602485268
565,0,0.456138252,0.142002537,0,0.598140788,0.598140788
566,0,0.412586999,0.181214782,0,0.593801781,0.593801781
567,0,0.371269654,0.219046088,0,0.590315742,0.590315742
568,0,0.341317684,0.247022572,0,0.588340256,0.588340256
569,0,0.327338045,0.260778107,0,0.588116151,0.588116151
570,0,0.325448914,0.263580997,0,0.589029911,0.589029911
571,0,0.329550046,0.260849821,0,0.590399867,0.590399867
572,0,0.335054135,0.256739213,0,0.591793348,0.591793348
573,0,0.339358112,0.253719827,0,0.593077938,0.593077938
574,0,0.341195593,0.252854232,0,0.594049825,0.594049825
575,0,0.34029935,0.254490607,0,0.594789957,0.594789957
576,0,0.33391188,0.256257534,0,0.590169414,0.590169414
577,0,0.328804942,0.262597624,0,0.591402566,0.591402566
578,0,0.322081402,0.270506039,0,0.592587441,0.592587441
579,0,0.314293974,0.279578968,0,0.593872942,0.593872942
580,0,0.305776795,0.289399098,0,0.595175893,0.595175893
581,0,0.296538614,0.299635712,0,0.596174327,0.596174327
582,0,0.286430603,0.310673188,0,0.597103791,0.597103791
583,0,0.274490418,0.323559103,0,0.598049522,0.598049522
584,0,0.258728676,0.340431198,0,0.599159874,0.599159874
585,0,0.235680549,0.364785675,0,0.600466223,0.600466223
586,0,0.200679701,0.401677651,0,0.602357352,0.602357352
587,0,0.150081621,0.455157785,0,0.605239406,0.605239406
588,0,0.088577053,0.520740414,0,0.609317467,0.609317467
589,0,0.035140975,0.578704548,0,0.613845523,0.613845523
590,0,0.00844333,0.608917909,0,0.617361238,0.617361238
591,0,0,0.612896071,0,0.612896071,0.612896071
592,0,0,0.605176372,0,0.605176372,0.605176372
593,0,0,0.596813299,0,0.596813299,0.596813299
594,0,0,0.592386983,0,0.592386983,0.592386983
595,0,0,0.592529362,0,0.592529362,0.592529362
596,0,0,0.59654271,0,0.59654271,0.59654271
597,0,0,0.603111379,0,0.603111379,0.603111379
598,0,0,0.610850087,0,0.610850087,0.610850087
599,0,0,0.618248737,0,0.618248737,0.618248737
600,0,0,0.624236267,0,0.624236267,0.624236267
601,0,0,0.627046056,0,0.627046056,0.627046056
602,0,0,0.614599034,0,0.614599034,0.614599034
603,0,0,0.631633026,0,0.631633026,0.631633026
604,0,0,0.632171836,0,0.632171836,0.632171836
605,0,0,0.63206489,0,0.63206489,0.63206489
606,0,0,0.63208099,0,0.63208099,0.63208099
607,0,0,0.632759907,0,0.632759907,0.632759907
608,0,0,0.634108306,0,0.634108306,0.634108306
609,0,0,0.636230857,0,0.636230857,0.636230857
610,0,0,0.638870983,0,0.638870983,0.638870983
611,0,0,0.641696209,0,0.641696209,0.641696209
612,0,0,0.644561559,0,0.644561559,0.644561559
613,0,0,0.647137796,0,0.647137796,0.647137796
614,0,0,0.649177218,0,0.649177218,0.649177218
615,0,0,0.650756529,0,0.650756529,0.650756529
616,0,0,0.651758652,0,0.651758652,0.651758652
617,0,0,0.652449293,0,0.652449293,0.652449293
618,0,0,0.652928838,0,0.652928838,0.652928838
619,0,0,0.653323741,0,0.653323741,0.653323741
620,0,0,0.653980693,0,0.653980693,0.653980693
621,0,0,0.654998044,0,0.654998044,0.654998044
622,0,0,0.656508029,0,0.656508029,0.656508029
623,0,0,0.658589236,0,0.658589236,0.658589236
624,0,0,0.661258444,0,0.661258444,0.661258444
625,0,0,0.664473972,0,0.664473972,0.664473972
626,0,0,0.668136921,0,0.668136921,0.668136921
627,0,0,0.67209999,0,0.67209999,0.67209999
628,0,0,0.676181954,0,0.676181954,0.676181954
629,0,0,0.680187665,0,0.680187665,0.680187665
630,0,0,0.683930506,0,0.683930506,0.683930506
631,0,0,0.687255039,0,0.687255039,0.687255039
632,0,0,0.69005491,0,0.69005491,0.69005491
633,0,0,0.692361213,0,0.692361213,0.692361213
634,0,0,0.694034036,0,0.694034036,0.694034036
635,0,0,0.695218837,0,0.695218837,0.695218837
636,0,0,0.69602372,0,0.69602372,0.69602372
637,0,0,0.696579359,0,0.696579359,0.696579359
638,0,0,0.697022448,0,0.697022448,0.697022448
639,0,0,0.697481195,0,0.697481195,0.697481195
640,0,0,0.698064849,0,0.698064849,0.698064849
641,0,0,0.698624175,0,0.698624175,0.698624175
642,0,0,0.699367464,0,0.699367464,0.699367464
643,0,0,0.700475239,0,0.700475239,0.700475239
644,0,0,0.701781962,0,0.701781962,0.701781962
645,0,0,0.703328878,0,0.703328878,0.703328878
646,0,0,0.705135723,0,0.705135723,0.705135723
647,0,0,0.706971632,0,0.706971632,0.706971632
648,0,0,0.708829599,0,0.708829599,0.708829599
649,0,0,0.710702454,0,0.710702454,0.710702454
650,0,0,0.712356066,0,0.712356066,0.712356066
651,0,0,0.713885878,0,0.713885878,0.713885878
652,0,0,0.715097391,0,0.715097391,0.715097391
653,0,0,0.716058158,0,0.716058158,0.716058158
654,0,0,0.716863318,0,0.716863318,0.716863318
655,0,0,0.717396232,0,0.717396232,0.717396232
656,0,0,0.717795717,0,0.717795717,0.717795717
657,0,0,0.718212467,0,0.718212467,0.718212467
658,0,0,0.718565213,0,0.718565213,0.718565213
659,0,0,0.719005927,0,0.719005927,0.719005927
660,0,0,0.719677554,0,0.719677554,0.719677554
661,0,0,0.72055208,0,0.72055208,0.72055208
662,0,0,0.721742658,0,0.721742658,0.721742658
663,0,0,0.723107745,0,0.723107745,0.723107745
664,0,0,0.72480254,0,0.72480254,0.72480254
665,0,0,0.726647595,0,0.726647595,0.726647595
666,0,0,0.72876158,0,0.72876158,0.72876158
667,0,0,0.730932511,0,0.730932511,0.730932511
668,0,0,0.733269817,0,0.733269817,0.733269817
669,0,0,0.735591001,0,0.735591001,0.735591001
670,0,0,0.738008019,0,0.738008019,0.738008019
671,0,0,0.740333392,0,0.740333392,0.740333392
672,0,0,0.742392694,0,0.742392694,0.742392694
673,0,0,0.744287403,0,0.744287403,0.744287403
674,0,0,0.745818853,0,0.745818853,0.745818853
675,0,0,0.747128555,0,0.747128555,0.747128555
676,0,0,0.748054215,0,0.748054215,0.748054215
677,0,0,0.748774304,0,0.748774304,0.748774304
678,0,0,0.74916191,0,0.74916191,0.74916191
679,0,0,0.749427571,0,0.749427571,0.749427571
680,0,0,0.749307194,0,0.749307194,0.749307194
681,0,0,0.748865325,0,0.748865325,0.748865325
682,0,0,0.748408179,0,0.748408179,0.748408179
683,0,0,0.747994951,0,0.747994951,0.747994951
684,0,0,0.747596038,0,0.747596038,0.747596038
685,0,0,0.747411716,0,0.747411716,0.747411716
686,0,0,0.747387753,0,0.747387753,0.747387753
687,0,0,0.747536236,0,0.747536236,0.747536236
688,0,0,0.747854752,0,0.747854752,0.747854752
689,0,0,0.748246555,0,0.748246555,0.748246555
690,0,0,0.748842837,0,0.748842837,0.748842837
691,0,0,0.74952049,0,0.74952049,0.74952049
692,0,0,0.750224718,0,0.750224718,0.750224718
693,0,0,0.750904872,0,0.750904872,0.750904872
694,0,0,0.751390978,0,0.751390978,0.751390978
695,0,0,0.751750665,0,0.751750665,0.751750665
696,0,0,0.751768001,0,0.751768001,0.751768001
697,0,0,0.751200037,0,0.751200037,0.751200037
698,0,0,0.749487208,0,0.749487208,0.749487208
699,0,0,0.745183663,0,0.745183663,0.745183663
700,0,0,0.738511259,0,0.738511259,0.738511259
701,0,0,0.739678676,0,0.739678676,0.739678676
702,0,0,0.743784241,0,0.743784241,0.743784241
703,0,0,0.745387801,0,0.745387801,0.745387801
704,0,0,0.745547971,0,0.745547971,0.745547971
705,0,0,0.745255799,0,0.745255799,0.745255799
706,0,0,0.744798427,0,0.744798427,0.744798427
707,0,0,0.74426007,0,0.74426007,0.74426007
708,0,0,0.743872897,0,0.743872897,0.743872897
709,0,0,0.743590005,0,0.743590005,0.743590005
710,0,0,0.743349442,0,0.743349442,0.743349442
711,0,0,0.743323578,0,0.743323578,0.743323578
712,0,0,0.743445597,0,0.743445597,0.743445597
713,0,0,0.743646066,0,0.743646066,0.743646066
714,0,0,0.744086825,0,0.744086825,0.744086825
715,0,0,0.744683191,0,0.744683191,0.744683191
716,0,0,0.745338965,0,0.745338965,0.745338965
717,0,0,0.746181899,0,0.746181899,0.746181899
718,0,0,0.747085842,0,0.747085842,0.747085842
719,0,0,0.747897186,0,0.747897186,0.747897186
720,0,0,0.748471732,0,0.748471732,0.748471732
721,0,0,0.748560856,0,0.748560856,0.748560856
722,0,0,0.749173723,0,0.749173723,0.749173723
723,0,0,0.748729042,0,0.748729042,0.748729042
724,0,0,0.747347022,0,0.747347022,0.747347022
725,0,0,0.744583949,0,0.744583949,0.744583949
726,0,0,0.739424635,0,0.739424635,0.739424635
727,0,0,0.73092945,0,0.73092945,0.73092945
728,0,0,0.71953361,0,0.71953361,0.71953361
729,0,0,0.710371251,0,0.710371251,0.710371251
730,0,0,0.710421498,0,0.710421498,0.710421498
731,0,0,0.717034776,0,0.717034776,0.717034776
732,0,0,0.723564203,0,0.723564203,0.723564203
733,0,0,0.727767671,0,0.727767671,0.727767671
734,0,0,0.729891724,0,0.729891724,0.729891724
735,0,0,0.730395587,0,0.730395587,0.730395587
736,0,0,0.729859549,0,0.729859549,0.729859549
737,0,0,0.728710478,0,0.728710478,0.728710478
738,0,0,0.727034595,0,0.727034595,0.727034595
739,0,0,0.725076929,0,0.725076929,0.725076929
740,0,0,0.723034399,0,0.723034399,0.723034399
741,0,0,0.720690065,0,0.720690065,0.720690065
742,0,0,0.718334819,0,0.718334819,0.718334819
743,0,0,0.716008971,0,0.716008971,0.716008971
744,0,0,0.713733434,0,0.713733434,0.713733434
745,0,0,0.711510477,0,0.711510477,0.711510477
746,0,0,0.709323043,0,0.709323043,0.709323043
747,0,0,0.707133862,0,0.707133862,0.707133862
748,0,0,0.704882592,0,0.704882592,0.704882592
749,0,0,0.702482308,0,0.702482308,0.702482308
750,0,0,0.69981393,0,0.69981393,0.69981393
751,0,0,0.696718548,0,0.696718548,0.696718548
752,0,0,0.692985211,0,0.692985211,0.692985211
753,0,0,0.68833609,0,0.68833609,0.68833609
754,0,0,0.682405648,0,0.682405648,0.682405648
755,0,0,0.674713878,0,0.674713878,0.674713878
756,0,0,0.66463603,0.048025418,0.712661448,0.712661448
757,0,0,0.651376046,0.060438992,0.711815037,0.711815037
758,0,0,0.63396199,0.076733841,0.710695831,0.710695831
759,0,0,0.611296121,0.097957473,0.709253594,0.709253594
760,0,0,0.582285015,0.124193856,0.706478871,0.706478871
761,0,0,0.54602173,0.158077876,0.704099605,0.704099605
762,0,0,0.502050885,0.199388409,0.701439293,0.701439293
763,0,0,0.458056386,0.24086815,0.698924536,0.698924536
764,0,0,0.425756961,0.271356231,0.697113192,0.697113192
765,0,0,0.400757998,0.294894576,0.695652574,0.695652574
766,0,0,0.384125727,0.31028675,0.694412477,0.694412477
767,0,0,0.376241356,0.317194001,0.693435357,0.693435357
768,0,0,0.374878892,0.317591013,0.692469905,0.692469905
769,0,0,0.377134274,0.31423165,0.691365924,0.691365924
770,0,0,0.376204698,0.305935314,0.682140012,0.682140012
771,0,0,0.379715346,0.301904813,0.681620159,0.681620159
772,0,0,0.381874571,0.298975349,0.68084992,0.68084992
773,0,0,0.38237535,0.297641997,0.680017347,0.680017347
774,0,0,0.381109569,0.297995034,0.679104603,0.679104603
775,0,0,0.378198328,0.299966951,0.678165279,0.678165279
776,0,0,0.37387139,0.303375731,0.677247121,0.677247121
777,0,0,0.368420216,0.307972504,0.67639272,0.67639272
778,0,0,0.362163476,0.313471265,0.675634741,0.675634741
779,0,0,0.355383322,0.319542618,0.67492594,0.67492594
780,0,0,0.348447387,0.325974491,0.674421877,0.674421877
781,0,0,0.341411308,0.33236658,0.673777888,0.673777888
782,0,0,0.334535465,0.338672684,0.673208149,0.673208149
783,0,0,0.327879653,0.344905617,0.672785269,0.672785269
784,0,0,0.321307187,0.351208929,0.672516116,0.672516116
785,0,0,0.314510217,0.357979484,0.672489701,0.672489701
786,0,0,0.306815646,0.36578992,0.672605566,0.672605566
787,0,0,0.297289425,0.375720588,0.673010013,0.673010013
788,0,0,0.284460707,0.389375264,0.673835972,0.673835972
789,0,0,0.266187021,0.409114676,0.675301697,0.675301697
790,0,0,0.239614791,0.438119362,0.677734154,0.677734154
791,0,0,0.201784378,0.47975644,0.681540818,0.681540818
792,0,0,0.15187786,0.535096726,0.686974586,0.686974586
793,0,0,0.095326299,0.598337275,0.693663574,0.693663574
794,0,0,0.045237946,0.655105187,0.700343133,0.700343133
795,0,0,0,0.690971909,0.690971909,0.690971909
796,0,0,0,0.703594244,0.703594244,0.703594244
797,0,0,0,0.70107947,0.70107947,0.70107947
798,0,0,0,0.692806395,0.692806395,0.692806395
799,0,0,0,0.684668151,0.684668151,0.684668151
800,0,0,0,0.679239653,0.679239653,0.679239653
801,0,0,0,0.677138629,0.677138629,0.677138629
802,0,0,0,0.678199938,0.678199938,0.678199938
803,0,0,0,0.681618251,0.681618251,0.681618251
804,0,0,0,0.686644868,0.686644868,0.686644868
805,0,0,0,0.69242482,0.69242482,0.69242482
806,0,0,0,0.698153374,0.698153374,0.698153374
807,0,0,0,0.70315543,0.70315543,0.70315543
808,0,0,0,0.706954882,0.706954882,0.706954882
809,0,0,0,0.709317453,0.709317453,0.709317453
810,0,0,0,0.710250859,0.710250859,0.710250859
811,0,0,0,0.709963857,0.709963857,0.709963857
812,0,0,0,0.708796311,0.708796311,0.708796311
813,0,0,0,0.707141352,0.707141352,0.707141352
814,0,0,0,0.705378786,0.705378786,0.705378786
815,0,0,0,0.703828176,0.703828176,0.703828176
816,0,0,0,0.702722734,0.702722734,0.702722734
817,0,0,0,0.702202103,0.702202103,0.702202103
818,0,0,0,0.702316163,0.702316163,0.702316163
819,0,0,0,0.703037573,0.703037573,0.703037573
820,0,0,0,0.704277176,0.704277176,0.704277176
821,0,0,0,0.705977072,0.705977072,0.705977072
822,0,0,0,0.707907071,0.707907071,0.707907071
823,0,0,0,0.709905786,0.709905786,0.709905786
824,0,0,0,0.711823677,0.711823677,0.711823677
825,0,0,0,0.713537559,0.713537559,0.713537559
826,0,0,0,0.714960862,0.714960862,0.714960862
827,0,0,0,0.716049098,0.716049098,0.716049098
828,0,0,0,0.716799946,0.716799946,0.716799946
829,0,0,0,0.717248506,0.717248506,0.717248506
830,0,0,0,0.717460092,0.717460092,0.717460092
831,0,0,0,0.717520204,0.717520204,0.717520204
832,0,0,0,0.717524308,0.717524308,0.717524308
833,0,0,0,0.717568714,0.717568714,0.717568714
834,0,0,0,0.717742245,0.717742245,0.717742245
835,0,0,0,0.718119991,0.718119991,0.718119991
836,0,0,0,0.718758672,0.718758672,0.718758672
837,0,0,0,0.719693427,0.719693427,0.719693427
838,0,0,0,0.720936313,0.720936313,0.720936313
839,0,0,0,0.72247577,0.72247577,0.72247577
840,0,0,0,0.724277915,0.724277915,0.724277915
841,0,0,0,0.726211821,0.726211821,0.726211821
